$OR;D2 
* From-Time  To-Time 
06.00 7.00 
* Factor 
1.00
9162030 9162028 9
783176672 554321029 21
774028738 784358748 21
774028738 9162009 23
52814612 9162065 15
774028738 9162040 20
52814612 9162087 13
783176672 9162028 7
783176672 9162065 0
586888382 9162122 14
586888382 9162068 0
783176672 9162077 78
586888382 9162087 4
586888382 9162115 9
586888382 9162047 10
783176672 9162090 2
783176672 9162034 18
586888382 9162043 0
783176672 9162131 1
783176672 9162115 40
819400248 9162019 56
819400248 9162037 3
819400248 9162079 8
783176672 9162068 11
783176672 9162024 17
783095006 9162043 11
554321029 9162027 26
554321029 9162028 9
554321029 9162126 8
554321029 9162025 9
774028738 9162103 19
783095006 9162049 16
783095006 9162087 6
554321029 9162062 7
554321029 9162042 7
783095006 9162025 13
783095006 9162099 0
783095006 9162062 23
783176708 9162024 32
783095006 9162016 7
783176708 9162126 4
783176708 9162056 44
783176708 9162131 4
784358748 9162001 37
784358748 52814612 9
784358748 9162160 10
784358748 9162056 1
784358748 819400248 13
586900421 9162001 8
784358748 9162058 16
783176672 9162037 55
586900421 9162122 27
774028738 9162058 5
774028738 9162131 9
774028738 9162066 71
774028738 9162102 39
9184003 9162019 11
9184003 9162159 16
9184003 819400248 3
